time,FOUNTAIN NO.1,SC01406518ACD T02-MW006,SC01406518CAA MW 1-1,SC01406519ABD T04-MW004,SC01406519BBB T01-MW002,SC01406520CDB MW2-4,SC01406527ACB1,SC01406527DDB1 BANNING-LEWIS RANCHES,SC01406527DDB2,SC01406527DDC1,SC01406528BBC 03-002,SC01406529BCB T07-MW004,SC01406529CDD PAFB07MW03,SC01406530DBD T07-MW006,SC01406531BBC T13-MW004,SC01406531CBC 04-009,SC01406531DAC T11-MW001,SC01406531DCC T12-MW003,SC01406534AAC1,SC01406534DAB1,SC01406627DCC,SC01406632ADA1 U-4 (WIDEFIELD),SC01406633CAD1,SC01406633DAC2,SC01406633DBB1 U-5,SC01406633DBB2,SC01406633DBB3,SC01406634AAA,SC01406634CCC1,SC01406634DBB1,SC01406634DBB2,SC01406635CAA CO259-26,SC01506503AAB2,SC01506508CAB,SC01506510AAB,SC01506510ABA,SC01506510ABB2,SC01506515DAA,SC01506519BAD1 NONUM-2,SC01506519BCB1 U-17,SC01506522DBA1,SC01506522DBA4,SC01506522DBB1,SC01506527ACA1,SC01506528DCD1 USGS 384231104400600,SC01506528DCD2,SC01506530CDA FRANCOIS,SC01506533BDD1,SC01506602CCC1,SC01506602CCC2 U-9,SC01506603ABA TH-22,SC01506603BAC1 MARS GAS,SC01506603BBC TH-42,SC01506603BCA2,SC01506603CAB1,SC01506603CAB2,SC01506603CAB3 U-08,SC01506603CAB4,SC01506603CAB5,SC01506603CAD1 STRATMOOR HILLS 4,SC01506603DCA1,SC01506603DDB SECURITY 14,SC01506604ABA1 U-7,SC01506604ACA TH-52,SC01506610ADB1 TH-7,SC01506610ADB2 TH-46,SC01506611ACD1 U-10,SC01506611BBB2,SC01506611BCA,SC01506611BDC,SC01506611BDC2,SC01506611BDC3 U-11,SC01506611CAA,SC01506611CDB,SC01506611CDD1,SC01506611CDD2 U-12,SC01506611DCB2,SC01506612ABA,SC01506612CDC CO259-25,SC01506613ADD,SC01506613BCC2,SC01506613CBD1 U-14B,SC01506613CBD2 U-14,SC01506613CCA,SC01506613CDD,SC01506613DDC1 U-15,SC01506614AAC2,SC01506614AAD SECURITY 2,SC01506614ABB,SC01506614ADD,SC01506614BAA,SC01506614BBA  TH-5,SC01506614DAA1 U-13,SC01506614DAD1,SC01506619ADA2,SC01506624ABC1,SC01506624ABC2 U-16,SC01506624BAA1,SC01506624BAD1 WIDEFIELD 4,SC01506624DAB2 U-18,SC01506624DBD2 U-19,SC01506624DBD3,SC01506624DCA1,SC01506625AAA1,SC01606504BBB,SC01606505ADA USGS 384122104410000,SC01606505ADD,SC01606505CCB FOUNTAIN 3,SC01606505DCD,SC01606505DDC,SC01606505DDC2,SC01606506ABB1,SC01606506ABB2,SC01606506ABB3,SC01606506ABB4,SC01606506ACC1,SC01606506DAA FOUNTAIN 2,SC01606506DAB1,SC01606506DAB2,SC01606508AAB,SC01606508DBA1 DELBERT WELLS WELL 1,SC01606508DBB,SC01606508DCB,SC01606508DCC,SC01606516BBA1,SC01606516CCC1,SC01606516CCC2,SC01606517AAA1,SC01606517AAA2,SC01606517DDA,SC01606520AAA1,SC01606520AAB,SC01606521BAB,SC01606521BBA1,SC01606521BBC,SC01606521BCB,SCO1406633DAC2,SCO1406634CCD,SCO1416633DAC1,SCO1506601BBD TH-53,SCO1506602BBB TH-18,SCO1506602BDC,SCO1506602CAA,SCO1506603AAD,SCO1506603BAC,SCO1506604AAA,SCO1506604AAB TH-49,SCO1506604ABA2 TH-50,SCO1506610BAA,SCO1506611ABC TH-47
59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1708.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1766.0782560000002,,,,,,,,1708.611264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1668.359376,,,,,,,,,,,,,,,,,,,,,,
454.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1765.971576,,,,,,,,1708.730136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1679.588208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789.0,,,,,,,,,1802.7578880000003,1803.123648,,,,,,,,,1797.838416,1793.751048,,,,,,,,,,,,,,1673.7330000000002,,,1765.590576,1741.3406880000002,,,1729.775052,1730.145384,1729.767432,1722.0834240000002,1708.580784,1708.583832,,,,,,,,1747.7232,,,,,,,,1747.2964800000002,,,,,,1745.0348640000002,,,,,1738.841328,,,,1733.6902080000002,,,,1729.547976,,,,1719.882768,,,,,,,,,,,,,,,,,,,,1690.432992,1691.3900640000002,1687.918392,,1679.49372,1681.3057560000002,1684.96488,,,,,,,,,,,1673.6568,1672.4772240000002,1671.303744,,1689.469824,1964.3598,1668.359376,1667.8168320000002,1661.562336,,1655.649216,1653.076704,1658.480808,1656.874512,1655.2499280000002,,,,,,,,,,,,,,
819.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1745.126304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1711.046616,,,,,,,,,,,,,,,,,,,,,,,1964.1312,,,,,,,1658.252208,,,,,,,,,,,,,,,,
1005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1690.4208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1742.041728,,,,,1728.112368,1722.491856,1708.5564000000002,,,,,,,,,,,,,,,,1747.515936,1746.790512,,,,,,1744.745304,,,,,1736.4638880000002,,,,1730.8220400000002,,,,1728.270864,,,1722.095616,1718.953128,,,,,1725.494136,,,,,,,,,,,,,,,,,,,1679.9814,,,,,,,,,,,,,,,1670.92884,,1689.119304,,1668.3288960000002,,,,1655.316984,1652.726184,,,,,,,,,,,,,,,,,
1155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1673.352,,,,1741.706448,,,,,,,1708.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1678.8384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185.0,,,,,,,,,,,,,,,,,,,1798.2438000000002,1794.028416,,,,,,,,,,,,,,1673.327616,1765.26444,1767.39804,1765.8740400000002,1741.913712,,,,1727.9630160000002,1727.89596,,1708.5564000000002,,,,,,,,,,,,,,,,1748.1864960000005,1747.92132,,,,,,1745.126304,,,,,1739.78316,1738.06104,,,1733.931,,,,1726.003152,,,1723.235568,1719.858384,,,,1733.3518800000002,1726.9998480000002,,,,,,,,,,,,,,1711.0374720000002,,,1687.458144,,1678.996896,,,,,,,,,,,,,,,1670.44116,,1689.073584,,1668.319752,,1661.062464,,1655.286504,1653.116328,1658.054088,1656.578856,1655.435856,,,,,,,,,,,,,,
1520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1781.7114480000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1729.1304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670.6088,,,,,,,,,,1658.4168000000002,,,,,,,,,,,,,,,,
1550.0,,,,,,,,,,,,,,,,,,,1797.6372480000002,1794.06804,,,,,,,,,,,,,,,1765.688112,1767.821712,,1742.03868,,,,1728.42936,1728.100176,1721.848728,1708.580784,,,,,,,,,,,,,,,,1748.783904,1748.152968,,,,,,,,,,,1739.5728480000002,1737.805008,,,,,,,,,,1723.439784,1720.416168,,,,1733.278728,1726.9602240000002,,,,,,,,,,,,,,1711.0130880000002,,,1687.63188,,1679.6308800000002,,,,,,,,,,,,,,,1671.038568,,1689.3296160000002,,1668.7068480000005,,1661.818368,,1654.9878,1653.192528,1658.688072,1657.011672,,,,,,,,,,,,,,,
1826.0,,,,,,,,,,,,,,,,,,,1797.305016,1793.0774400000005,,,,,,,,,,,,,1783.4670960000003,,1764.7554240000002,1767.318792,,1741.84056,,,,,1727.173584,1721.385432,,,,,,,,,,,,,,,,,,1747.016064,,,,,,1744.897704,1744.928184,,,,1737.945216,1736.088984,,,1732.0930560000002,,,,1727.80452,,,1722.308976,1719.1024800000002,,1728.950568,,1731.498696,1726.05192,,,,,,,,,,,,,,1710.65952,,,1687.519104,,1679.6308800000002,,,,,,,,,,,,,,,1671.41652,,1689.41496,,1668.816576,,1661.5470960000002,,1655.554728,1653.0462240000002,1658.450328,,,,,,,,,,,,,,,,
1885.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1743.6358320000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1743.565728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1743.651072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1783.604256,,,,,,,,,,1727.0912880000003,,1708.3430400000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1732.464912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670.922744,,,,1668.234408,1669.7888880000005,,,,,,,,,,,,,,,,,,,,,
2616.0,,,,,,,,,,,,,,,,,,,1797.2836800000002,,,,,,,,,,,,,,1783.65912,,,,1762.8504240000002,1741.6272,,,,,1728.176376,,1708.37352,,,,,,,,,1743.79128,,,,,,,,1748.518728,,,,,,,1745.202504,1740.22512,,,,,,,,,,,1731.163416,,,,,,1731.745584,,1734.321144,1728.6122400000002,,,,,,,,,,,,,,,,,1687.625784,,,,,,,,,,,,,,,,,1671.069048,,,,1668.435576,,,,,,,,,,,,,,,,,,,,,,
2831.0,,,,,,,1812.788856,1804.17216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1701.463704,,,,1755.135936,,,1750.919028,,,,,,,,,,,,,,,,,,,,,,,1780.400808,,,,,,,,,,,,,,,,1728.706728,,,,1719.77304,,,,,1714.33236,,,,,1680.959808,,,,,,,,1683.8218800000002,,,,,1673.4282,,,,1668.118584,,,,,,1657.173216,,,,,,,,,,,,,,,,,,,
3011.0,,,,,,,,,,,,,,,,,,,1797.2836800000002,,,,,,,,,,,,,,1783.21716,,,,1763.3198160000002,1741.426032,,,,,1726.5182640000005,,1708.1174880000003,,,,,,,,,,,,,,,,,,,,,,,,1745.120208,1739.069928,,,,1737.914736,,,,,,,1730.5020000000002,,,,,,1730.4044640000002,,1732.992216,1727.899008,,,,,,,,,,,,,,,,,1687.927536,,,,,,,,,,,,,1678.85364,,,,,,,,1668.587976,,1662.08964,,,,,,,,,,,,,,,,,,,,
3346.0,,,,,,,,,,,,,,,,,,,1797.250152,,,,,,,,,,,,,,1783.56768,,,,1766.2946640000002,1740.7950960000005,,,,,1727.6094480000002,,1708.059576,,,,,,,,,1743.59316,,,,,,,,,,,,,,,1745.25432,1739.52408,,,,1737.046056,,,,,,,1729.5296880000003,,,,,,1729.804008,,1732.1784,1729.98384,,,,,,,,,,,,,,,,,1687.381944,,,,,,,,,,,,,,,,,,,,,1668.182592,,,,,,,,,,,,,,,,,,,,,,
3561.0,,,,,,,,,,,,,,,,,,,,,1795.939512,,,,,,,1796.76552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3591.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1796.640552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3741.0,,,,,,,,,,,,,,,,,,,1797.125184,,,,,,,,,,,,,,1783.457952,,,,1765.928904,1740.8042400000002,,,,,1727.3930400000002,,1708.2058800000002,,,,,,,,,1743.864432,,,,,,,,,,,,,,,1745.4250080000002,1741.249248,,,,1739.2192800000005,,,,,,,1732.4100480000002,,,,,,,,1735.221828,1729.788768,,,,,,,,,,,,,,,,,1687.659312,,,,,,,,,,,,,,,,,,,,,1668.18564,,,,,,,,,,,,,,,,,,,,,,
4107.0,,,,,,,,,,,,,,,,,,,1797.2410080000002,,,,,,,,,,,,,,1782.699,,,,1766.815872,1740.999312,,,,,1724.3328480000002,,1707.8492640000002,,,,,,,,,1743.965016,,,,,,,,,,,,,,,1745.3488080000002,,,,,1738.94496,,,,,,,1731.593184,,,,,,,,,,,,,,,,,,,,,,,,,,1688.220144,,,,,,,,,,,,,1678.993848,,,,,,,,1669.34388,,,,,,,,,,,,,,,,,,,,,,
4442.0,,,,,,,,,,,,,,,,,,,,,1797.048984,,,,,,,1796.759424,,,1778.75184,,1782.5526960000002,,,,1766.89512,1741.6272,,,,,1725.18324,,1708.0169039999998,,,,,,,,,1744.0960800000005,,,,,,,,,,,,,,,1745.458536,,,,,1738.844376,,,,,,,1731.456024,,,,,,1731.645,,,,,,,,,,,,,,,,,,,,1687.3606080000002,,,,,,,,,,,,,1677.655776,,,,,,,,1668.478248,,,,1655.8686720000003,,,,,,,,,,,,,,,,,,
4472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1776.1508800000001,1778.720344,,,,,,,,,,,,,,,,1706.5416720000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700.450244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4687.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1778.87376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4748.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1778.8128000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4837.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1782.6228,,,,1767.035328,1741.898472,,,,,1725.850752,,1708.199784,,,,,,,,,,,,,,,,,,,,,,,,1745.952312,,,,,1740.496392,,,,,,,1733.30616,,,,,,1733.53476,,,,,,,,,,,,,,,,,,,,1687.394136,,,,,,,,,,,,,1677.442416,,,,,,,,1667.792448,,,,1655.5212,,,,,,,,,,,,,,,,,,
5202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1782.415536,,,,1766.983512,1741.5174720000002,,,,,1726.06716,,1707.721248,,,,,,,,,,,,,,,,,,,,,,,,1745.659704,,,,,1739.0668800000003,,,,,,,1732.5258720000002,,,,,,1732.385664,,,,,,,,,,,,,,,,,1710.726576,,,,,,,,,,,,,,,,1677.8020800000002,,,,,,,,1668.5818800000002,,,,1655.874768,,,,,,,,,,,,,,,,,,
5538.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1741.499184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5568.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1782.314952,,,,1766.928648,,,,,,1724.134728,,1707.91632,,,,,,,,,,,,,,,,,,,,,,,,1745.7054240000002,,,,,1739.225376,,,,,,,1732.20888,,,,,,1732.31556,,,,,,,,,,,,,,,,,,,,1687.4398560000002,,,,,,,,,,,,,1677.26868,,,,,,,,1667.7802560000002,,,,1655.6736,,,,,,,,,,,,,,,,,,
5753.0,1682.4624720000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5933.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1782.6532800000002,,,,1765.956336,1742.654376,,,,,1727.341224,,1708.0534800000005,,,,,,,,,,,,,,,,,,,,,,,,1745.48292,,,,,1739.277192,,,,,,,1732.0168560000002,,,,,,1733.06232,,,,,,,,,,,,,,,,,1711.022232,,,1687.711128,,,,,,,,,,,,,1678.369008,,,,,,,,1668.23136,,,,1655.682744,,,,,,,,,,,,,,,,,,
6268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1783.235448,,,,1765.8588000000002,1742.7762960000002,,,,,1728.487272,,,,,,,,,,,,,,,,,,,,,,,,,,1745.028768,,,,,1738.9784880000002,,,,,,,1731.718152,,,,,,1732.656936,,,,,,,,,,,,,,,,,1710.6808560000002,,,1687.7842800000003,,,,,,,,,,,,,,,,,,,,,1668.2770800000003,,,,1655.73456,,,,,,,,,,,,,,,,,,
6483.0,,,,,,,,,,,,,,,,,,,,,,1780.120392,1772.9606400000002,,1767.12372,1766.59032,1766.59032,,1765.52352,,,,,,,,,,1733.79384,1719.3768,,,,,,,,,1750.109784,1749.35388,,,,,,1757.41584,1752.3866400000002,1760.46384,1760.34192,,,,1760.8296,,,,1742.57208,,,,1737.180168,1736.6010480000002,,,1734.0986400000002,1731.6632880000002,,,,,,1725.60996,1725.83856,,,1722.01332,,,,,,,1728.64272,,,1719.9864,1719.072,,,1715.74968,1713.95136,1712.6712,,,,,,,,,,1689.09492,1689.11016,1689.01872,1689.0492000000002,,,1684.14192,1684.29432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6663.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1780.918968,,,,1765.9654800000003,1742.764104,,,,,1728.8256,,1708.29732,,,,,,,,,,,,,,,,,,,,,,,,1745.19336,,,,,1739.088216,,,,,,,1732.3490880000002,,,,,,1732.6508400000002,,,,,,,,,,,,,,,,,1710.406536,,,1687.5434880000005,,,,,,,,,,,,,1677.759408,,,,,,,,1669.307304,,,,1655.929632,,,,,,,,,,,,,,,,,,
6849.0,,,,,,,,,,,,,,,,,,,,,,1779.480312,1773.14352,,1767.0170400000002,,,,,,,,,,,,,,,1720.19976,,,,,,,,,1749.36912,1749.00336,,,,,,1756.53192,1751.80752,,,,,,1761.3172800000002,,,,1745.04096,,,,1736.5980000000002,,,,1733.91576,1731.282288,,,,,,1724.9546400000002,1725.50328,,,1721.5104,,,,,,,1728.55128,,,,,,,1715.47536,1714.01232,1712.79312,,,,,,,,,,1688.80536,1688.8968,,,,,1683.92856,1683.92856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6940.0,,,,,,,,,,,,,,,,,,,,,,1779.632712,1772.99112,,,,,,,,,,,,,,,,,,,,,,,,,,1749.8568,,,,,,,1756.80624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1729.1304,,,,,,,1716.08496,,,,,,,,,,,,1688.8968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6999.0,,,,,,,,,,,,,,,,,,,,,,,,,1767.3675600000001,,,,,,,,1782.0802560000002,,,,1765.886232,1742.352624,,1720.26072,,,1729.337664,,,,,,,,,,,,,,,,,,,,,,,,1744.43136,,1745.001336,,,,,1738.969344,1735.74456,,,,,,1732.3490880000002,1726.5700800000002,,,,1722.5772000000002,1732.602072,,,,,,,,,1719.95592,,,,,1714.53048,,,1710.2084160000002,,,1687.442904,,,,,,,,,,,1684.11144,,1677.655776,,,,,,,,1668.197832,,,,1655.8778160000002,,,,,,,,,,,,,,,,,,
7364.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1782.232656,,,,1765.8984240000002,1742.35872,,,,,1729.813152,,1708.324752,,,,,,,,,,,,,,,,,,,,,,,,1745.5621680000002,,,,,1738.3688880000002,,,,,,,1732.656936,,,,,,1732.861152,,,,,,,,,,,,,,,,,1710.5680800000002,,,1687.2966,,,,,,,,,,,,,1676.845008,,,,,,,,1668.07896,,,,1655.707128,,,,,,,,,,,,,,,,,,
